ID,RA (core),DEC (core),RA (centroid),DEC (centroid),FLUX,Core frac,BMAJ,BMIN,PA,SIZE,CLASS,SELECTION,x,y
19583869,-0.0271824,-29.88018036,-0.02581738,-29.88134634,3.0718e-05,0.00701535,242.875,124.447,19.617,1,1,1,166,739
24121695,-0.64222741,-29.77524185,-0.64231591,-29.77521061,3.47129e-05,0.0,5.6,5.551,328.554,1,1,1,3354,1362
29344707,-0.59734124,-29.5684166,-0.59763354,-29.56817,5.80276e-05,0.01317073,23.823,8.645,202.314,1,1,1,3129,2597
6078927,-0.43724552,-29.48282814,-0.43684663,-29.48329638,1.56792e-05,0.00889646,57.892,36.376,64.502,1,1,1,2298,3107
31238777,-0.62362248,-29.89306068,-0.62433396,-29.89248138,1.52496e-05,0.00847816,76.292,28.023,3.013,1,1,1,3257,664
32746054,-0.34560445,-29.82236099,-0.34653047,-29.82251328,1.4276e-05,0.00163298,48.408,45.331,4.634,1,1,1,1824,1087
21349863,-0.05336785,-29.73792267,-0.05371517,-29.73795633,0.00317267,0.00508373,86.953,62.09,72.061,1,1,1,310,1594
24306434,-0.54435426,-29.83316803,-0.54210679,-29.82995704,0.000368047,0.00214577,348.847,338.297,316.272,1,1,1,2834,1039
11769656,-0.39392975,-29.91685486,-0.39353965,-29.91680591,1.11781e-05,0.00336149,38.821,18.299,317.622,1,1,1,2065,525
19005285,-0.25610253,-29.7314949,-0.25640522,-29.73150364,8.89212e-05,0.01676403,15.05,13.544,220.978,1,1,1,1359,1631
31464194,-0.01453032,-29.50184441,-0.01445015,-29.50208756,3.91426e-06,0.01007298,25.272,17.046,345.623,1,1,1,107,2999
16153169,-0.51156384,-29.6512413,-0.51154909,-29.65141495,4.06574e-06,0.01882073,61.806,30.285,349.831,1,1,1,2681,2103
10355773,-0.08488483,-29.74403763,-0.08338546,-29.74502199,1.09963e-05,0.08616115,203.964,175.217,209.833,1,1,1,464,1551
3830031,-0.15869117,-29.4298439,-0.15920729,-29.43051173,7.97855e-05,0.00535966,31.456,12.81,63.459,1,1,1,859,3425
1426831,-0.09746934,-29.82261086,-0.09777741,-29.82243041,1.12345e-05,0.00451468,17.433,17.281,56.903,1,1,1,538,1090
27392115,-0.46870455,-29.92567635,-0.4687762,-29.92554898,3.48625e-06,0.00246367,21.29,19.669,355.551,1,1,1,2453,471
30362048,-0.48153728,-29.81078911,-0.48153759,-29.81070206,8.53151e-05,0.04456031,102.519,48.018,259.409,1,1,1,2522,1155
7771801,-0.33952183,-29.40963364,-0.34131451,-29.41157134,9.05501e-06,0.00080244,45.34,29.864,212.216,1,1,1,1804,3536
17422126,-0.64289904,-29.88957596,-0.64612015,-29.88857165,3.37682e-05,0.00403844,186.711,167.037,187.711,1,1,1,3370,687
20167150,-0.39047295,-29.86749268,-0.39066725,-29.86885131,0.0295553,0.01692422,107.11,43.263,191.258,1,1,1,2051,810
28472510,-0.6524564,-29.62347221,-0.65251239,-29.62347883,1.65722e-05,0.01517139,5.646,3.806,252.241,1,1,1,3412,2266
28836649,-0.45043156,-29.49653244,-0.45036452,-29.49642887,4.87486e-06,0.0,7.602,3.972,237.564,1,1,1,2368,3028
20045120,-0.02141082,-29.64348602,-0.02135938,-29.64356065,0.000653392,0.01218538,5.037,3.525,276.587,1,1,1,143,2156
25582692,-0.65853578,-29.47740936,-0.65884766,-29.47739988,0.000183932,0.00366577,16.048,12.048,151.299,1,1,1,3450,3136
34577666,-0.44976673,-29.67997551,-0.44943459,-29.68011831,3.87678e-06,0.01550235,10.184,9.862,345.017,1,1,1,2359,1934
26086324,-0.30399317,-29.84291077,-0.30494827,-29.84259745,3.63688e-06,0.00309352,35.511,13.767,347.61,1,1,1,1608,968
30365881,-0.6250993,-29.66308403,-0.62508138,-29.66297678,1.0843e-05,0.00950704,16.729,6.671,26.771,1,1,1,3269,2032
6881617,-0.59070921,-29.49870682,-0.5903768,-29.49837914,4.76249e-05,0.0,16.483,11.736,54.272,1,1,1,3094,3013
29860156,-0.60866791,-29.64009857,-0.6085398,-29.6401517,6.88569e-06,0.04237822,55.874,30.474,133.143,1,1,1,3184,2168
